ID,TalentTab,Row,Col,Rank1,Rank2,Rank3,Rank4,Rank5,RequiredTalent1,RequiredTalent2,RequiredTalent3,RequiredTalentPoints,Flags,RequiredSpellId,CategoryMask1,CategoryMask2
# ============================================================================
# CUSTOM TALENTS - Talent.dbc Template
# Starting at ID 3000 to avoid conflicts
# ============================================================================
# TalentTab: Determines which talent tree (use existing tabs or create new in TalentTab.dbc)
# Row: 0-10 (0 is top)
# Col: 0-3 (left to right)
# Rank1-5: Spell IDs for each rank
# RequiredTalent: ID of talent required before this one
# RequiredTalentPoints: Points needed in tree before this is available
# CategoryMask: For pet talents

# Example using Warrior Arms tree (TalentTab 161)
# Row 0 (requires 0 points)
3000,161,0,0,100101,100102,100103,100104,100105,0,0,0,0,0,0,0,0
3001,161,0,1,100106,100107,100108,0,0,0,0,0,0,0,0,0,0
3002,161,0,2,100109,100110,0,0,0,0,0,0,0,0,0,0,0
3003,161,0,3,100111,100112,100113,0,0,0,0,0,0,0,0,0,0

# Row 1 (requires 5 points)
3004,161,1,0,100114,100115,100116,100117,100118,0,0,0,5,0,0,0,0
3005,161,1,1,100119,100120,100121,0,0,0,0,0,5,0,0,0,0
3006,161,1,2,100122,100123,0,0,0,3000,0,0,5,0,0,0,0
3007,161,1,3,100124,100125,100126,0,0,0,0,0,5,0,0,0,0

# Row 2 (requires 10 points)
3008,161,2,0,100127,100128,100129,0,0,0,0,0,10,0,0,0,0
3009,161,2,1,100130,0,0,0,0,3005,0,0,10,0,0,0,0
3010,161,2,2,100131,100132,100133,100134,100135,0,0,0,10,0,0,0,0
3011,161,2,3,100136,100137,0,0,0,0,0,0,10,0,0,0,0

# ============================================================================
# TALENT TAB Template (TalentTab.dbc)
# For creating entirely new talent trees
# ============================================================================
# ID,Name,SpellIcon,RaceMask,ClassMask,PetTalentMask,OrderIndex,BackgroundTexture
# 500,Custom Hero Tab,1234,0,1,0,3,Interface\TalentFrame\WarriorArms-TopLeft

# ============================================================================
# Notes:
# - Each talent needs corresponding spells in Spell.dbc/spell_dbc
# - RequiredTalent links create the arrows in the UI
# - RequiredTalentPoints gates access based on total points spent
# - CategoryMask is used for pet talent trees
# ============================================================================
